review_id,user_id,business_id,stars,date,text,useful,funny,cool
VfBHSwC5Vz_pbFluy07i9Q,cjpdDjZyprfyDG3RlkVG3w,uYHaNptLzDLoV_JZ_MuzUA,5,7/12/16,"My girlfriend and I stayed here for 3 nights and loved it. The location of this hotel and very decent price makes this an amazing deal. When you walk out the front door Scott Monument and Princes street are right in front of you, Edinburgh Castle and the Royal Mile is a 2 minute walk via a close right around the corner, and there are so many hidden gems nearby including Calton Hill and the newly opened Arches that made this location incredible.  The hotel itself was also very nice with a reasonably priced bar, very considerate staff, and small but comfortable rooms with excellent bathrooms and showers. Only two minor complaints are no telephones in room for room service (not a huge deal for us) and no AC in the room, but they have huge windows which can be fully opened. The staff were incredible though, letting us borrow umbrellas for the rain, giving us maps and directions, and also when we had lost our only UK adapter for charging our phones gave us a very fancy one for free.  I would highly recommend this hotel to friends, and when I return to Edinburgh (which I most definitely will) I will be staying here without any hesitation.",0,0,0
DuffS87NaSMDmIfluvT83g,0xtbPEna2Kei11vsU-U2Mw,uYHaNptLzDLoV_JZ_MuzUA,5,11/20/13,"gute lage im stadtzentrum. shoppingmeile und sehenswŸrdigkeiten, sowie gute pubs in laufweite. das hotel ist neu, gut gepflegt und hat bemŸhtes/nettes personal. ideal fŸr einen kurztrip nach edinburgh. lŠngere aufenthalte eher nicht, da die zimmer recht klein sind.",0,0,0
GvLmUkjUrOyFH8KFnmT1uw,rW8q706dz5-NnXDzMwVkiw,uYHaNptLzDLoV_JZ_MuzUA,5,6/5/16,"Erstklassige Lage. Dazu ist alles geschrieben  worden. Wir hatten Zimmer 718 mit Blick auf den Bahnhof. Ist zwar zu laut mit offenen Fenster nachts, aber der Ausblick verzeiht alles. Das Personal ist sehr freundlich und super hilfsbereit. Wer Edinburgh zu Fu§ erkunden mšchte, ist hier perfekt aufgehoben.",0,0,0
ysfjtAWreLoy7um8WTb8xA,d0DGZRp6lHXGECJSc_nn-A,uYHaNptLzDLoV_JZ_MuzUA,5,8/21/15,"Motel One sets the standard for budget hotels. I stayed at the Dusseldorf branch a while ago so when I saw one in Edinburgh, I knew this was the place to book. We managed to get a reservation during the Edinburgh Fringe Festival and only booked a few weeks before. We did pay a premium over the normal rate but given the crowds in the city during this time, it was still a good deal compared to other hotels.  Staff were all friendly and welcoming, presentable and professional. We received a room upgrade with quite a large room overlooking the bridge crossing Waverley station to Princes St. Despite overlooking a busy road, the room was almost silent thanks to solid double glazing. The room temperature was perfectly controlled with an individual A/C unit. Super clean, modern, uncluttered. Bathroom was similar. No slamming doors or noise in the night. Bonus.  Free wifi that works with one log in (doesn't require repeated log ins as some places do) and had decent signal strength.  The buffet continental breakfast was also a hit with fresh croissants, danishes, cold cuts, cheese, toast, fruit and yoghurt all well presented, fresh and good quality as was the coffee.  If I am looking for a reasonable hotel in a city, Motel One will be by first choice.",1,0,1
EyQyvTTg2jX4or9bB8PC9g,XylT12exfdLiI_3uDLVIpw,jQsNFOzDpxPmOurSWCg1vQ,5,12/30/12,"I decided to try it out, I'm celiac and therefore can only eat gluten free... They have an easy to understand GF Menu with anything you can possibly want.  I placed my order online and picked the exact pickup time. I cam and my food was ready for me. Driving home the smell in my car was so good I could barely wait to get home and try it - true umami!  I got home and dug into the delicious spicy chicken and rice with sugar snapies and carrots. It was superb! For $9 I will definitely try this again! I did see a huge line at the store, so try doing an online order and pickup forsure!  p.s. they even include GF soy sauce!",2,1,1
_Qv1FQUToLrKMuG6pV4Gzw,E56sVQT5-OWfSejJrma8_w,jQsNFOzDpxPmOurSWCg1vQ,5,2/28/15,"Super clean restaurant and friendly staff. FRESH food. Hasn't been sitting under heat lamps. NO MSG, this is the good stuff. I have to have the Kung Pao Chicken weekly.",1,1,1
kznHtw1Qido_9GX6sDQPJw,vgZqQqe8cj6SBMH0EqDliw,jQsNFOzDpxPmOurSWCg1vQ,5,3/12/17,"This review is based upon consistency of flavor and great customer service.  We came and there was an unknown issue that required a 25 minute wait for food.  The employee notified us, and although hesitant, we decided to stay.  We have been here numerous times before in the past years so we are familiar with this location.  The employee was apologetic and gave us a free drink.  That was a simple gesture but rarely do you see decent customer service anymore.  We received our food and had an issue with an incorrect order.  It was explained and the issue was resolved quickly.  They gave us a free appetizer.  We do not expect perfection, nor free food.  This restaurant cares for customers and works to provide a positive experience.  We would return again because they have good food and they care.  That is a rarity in today's restaurant culture.  Kudos to the manager for creating this culture.  Ordered- fried rive and Tofu, edamame, won ton soup, dynamite chx, and Thai curry chx",0,0,0
HWRTVn3Lc-RwN6udv4WJzQ,O7G_c6wFXSygr82qs0GAcA,jQsNFOzDpxPmOurSWCg1vQ,5,12/19/16,I love this place i'd recommend it to anyone ! We always order it togo and it never disappoints! The food always taste fresh and is always ready on time! Definitely our favorite lunch spot !,1,0,1
ZrvsD7PSyPolII3gp4-uHw,CPuUagT2rfUJm6hRgxn3JQ,jQsNFOzDpxPmOurSWCg1vQ,5,12/28/15,"As a vegetarian, it can difficult to find places with good options, but I love getting a tofu bowl at Pei Wei. The first time I had it, I had to double check because it looks and has a similar texture to meat, but it's great. I love going to Pei Wei",0,0,0
ld06EwR5YyutWxud9ude0Q,2L_1kyJDOkEaPDiBRohx9w,jQsNFOzDpxPmOurSWCg1vQ,5,5/7/16,"I went to Surprise Pei Wei Restuarant tonight on Bell.  This was my first visit to a Pei Wei.  I was very impressed with the atmosphere, food and staff.  The chicken teriyaki with fried rice was DELICIOUS.  The spring rolls were delicious too!  Your Pei Wei location is my new fav restaurant..",0,0,0
